regime,task_id,ratio,H_full_bits,H_compressed_bits,delta_H_bits,confidence_full,confidence_compressed,score_full,score_compressed,delta_score
sampled,0,0.25,24.75138092041016,19.52816390991211,-5.22321701049805,0.3463369988586001,0.5261756922400581,0.3333,0.3333,0.0
sampled,0,0.75,24.75138092041016,16.728801727294922,-8.022579193115238,0.3463369988586001,0.499817575137463,0.3333,0.3333,0.0
sampled,1,0.25,1.5266714096069336,6.3458428382873535,4.81917142868042,0.7912693806778454,0.42637225200059,0.0,0.0,0.0
sampled,1,0.75,1.5266714096069336,25.00720596313477,23.480534553527836,0.7912693806778454,0.23073856804565,0.0,0.0,0.0
sampled,2,0.25,10.963960647583008,23.600839614868164,12.636878967285156,0.292375895652032,0.2302754613472895,0.0,0.0,0.0
sampled,2,0.75,10.963960647583008,13.891886711120604,2.927926063537596,0.292375895652032,0.2355542179461637,0.0,0.0,0.0
sampled,3,0.25,9.24125862121582,7.22898006439209,-2.0122785568237305,0.4805131187377077,0.5090022262301356,0.0,0.0,0.0
sampled,3,0.75,9.24125862121582,9.083593368530272,-0.15766525268554865,0.4805131187377077,0.3818482556758197,0.0,0.0,0.0
sampled,4,0.25,14.868810653686523,22.173120498657227,7.304309844970703,0.5011904825450921,0.4453444915910629,0.0,0.09519999999999999,0.09519999999999999
sampled,4,0.75,14.868810653686523,24.02047538757324,9.151664733886715,0.5011904825450921,0.4549383153934723,0.0,0.11109999999999999,0.11109999999999999
sampled,5,0.25,3.4153153896331787,3.795738458633423,0.38042306900024414,0.5597726390627432,0.5328969786488013,1.0,1.0,0.0
sampled,5,0.75,3.4153153896331787,3.409031867980957,-0.00628352165222168,0.5597726390627432,0.5369599295834163,1.0,1.0,0.0
sampled,6,0.25,12.393263816833496,15.594728469848633,3.2014646530151367,0.3898765999015428,0.5005610309408942,0.0,0.0,0.0
sampled,6,0.75,12.393263816833496,19.491703033447266,7.0984392166137695,0.3898765999015428,0.4023555526817574,0.0,0.0,0.0
sampled,7,0.25,1.2321183681488037,4.444045543670654,3.2119271755218506,0.8264351829511357,0.6151654597731148,0.0,0.0,0.0
sampled,7,0.75,1.2321183681488037,3.136906147003174,1.9047877788543701,0.8264351829511357,0.7033964666662739,0.0,0.0,0.0
sampled,8,0.25,7.435399532318115,7.96386194229126,0.5284624099731445,0.3049773843808035,0.441937379951365,1.0,1.0,0.0
sampled,8,0.75,7.435399532318115,6.788301944732666,-0.6470975875854492,0.3049773843808035,0.5076332643585116,1.0,1.0,0.0
sampled,9,0.25,14.065577507019045,7.179605007171631,-6.885972499847414,0.3606584661746964,0.5150267707705766,0.0,0.0,0.0
sampled,9,0.75,14.065577507019045,45.58858108520508,31.523003578186035,0.3606584661746964,0.2365519512862572,0.0,0.0,0.0
sampled,10,0.25,26.649066925048828,26.22951316833496,-0.4195537567138672,0.2821865961908416,0.3405925554604164,0.0,0.0,0.0
sampled,10,0.75,26.649066925048828,45.19744873046875,18.548381805419922,0.2821865961908416,0.2810036797964715,0.0,0.0,0.0
sampled,11,0.25,1.4997656345367432,18.127361297607425,16.627595663070682,0.7953463440409769,0.1661291276567891,0.0,0.0,0.0
sampled,11,0.75,1.4997656345367432,32.0869140625,30.587148427963257,0.7953463440409769,0.1236481369005045,0.0,0.0,0.0
sampled,12,0.25,7.219729900360107,8.459345817565918,1.2396159172058105,0.7210255078211633,0.5868113008582873,0.0,0.0,0.0
sampled,12,0.75,7.219729900360107,10.9271821975708,3.7074522972106934,0.7210255078211633,0.5029275954183585,0.0,0.0,0.0
sampled,13,0.25,2.0360546112060547,6.590367317199707,4.554312705993652,0.6537135583290229,0.4561671362451535,1.0,1.0,0.0
sampled,13,0.75,2.0360546112060547,10.11842918395996,8.082374572753904,0.6537135583290229,0.3131147474505847,1.0,0.5,-0.5
sampled,14,0.25,30.07717704772949,25.308439254760746,-4.768737792968743,0.5141617842132095,0.5936433116298373,0.3478,0.3478,0.0
sampled,14,0.75,30.07717704772949,45.57205581665039,15.494878768920902,0.5141617842132095,0.2456328282441254,0.3478,0.10529999999999999,-0.2425
sampled,15,0.25,21.65599632263184,30.973323822021484,9.317327499389645,0.3857902241205894,0.3388795709865603,0.0,0.2667,0.2667
