regime,task_id,kv_caching,ratio,config_label,n_mc_samples,H_bits,se_bits,varentropy_bits,mean_length,confidence,greedy_length,cache_seq_length,gold,predicted_answer
sampled,0,full,,full,50,24.751380920410156,7.264314397923248,2638.51318359375,16.18000030517578,0.34633699885860014,6,1079,Miller v. California,Gates v. Collier
sampled,0,compressed,0.25,compressed@0.25,50,19.52816390991211,4.057425466476942,823.1350708007812,21.079999923706055,0.5261756922400581,6,809,Miller v. California,Gates v. Collier
sampled,0,compressed,0.75,compressed@0.75,50,16.728801727294922,4.84207708005756,1172.2855224609375,16.719999313354492,0.499817575137463,6,269,Miller v. California,Gates v. Collier
sampled,1,full,,full,50,1.5266714096069336,0.12668489730713361,0.8024531602859497,4.519999980926514,0.7912693806778454,3,1104,Charles L. Clifford,David Niven
sampled,1,compressed,0.25,compressed@0.25,50,6.3458428382873535,3.520584002512935,619.7255859375,5.159999847412109,0.42637225200059,3,828,Charles L. Clifford,David Niven
sampled,1,compressed,0.75,compressed@0.75,50,25.007205963134766,7.673172624475485,2943.87890625,11.819999694824219,0.23073856804565002,3,276,Charles L. Clifford,David Niven
sampled,2,full,,full,50,10.963960647583008,1.725821567546255,148.92300415039062,6.179999828338623,0.292375895652032,3,1082,Norman,Worcester
sampled,2,compressed,0.25,compressed@0.25,50,23.600839614868164,5.250847448344053,1378.5699462890625,11.139999389648438,0.2302754613472895,3,811,Norman,Worcester
sampled,2,compressed,0.75,compressed@0.75,50,13.891886711120605,1.9051130062036346,181.4727783203125,6.659999847412109,0.23555421794616377,3,270,Norman,Wichita
sampled,3,full,,full,50,9.24125862121582,2.1549871754983836,232.198486328125,8.739999771118164,0.48051311873770775,2,1083,Sun,Jupiter
sampled,3,compressed,0.25,compressed@0.25,50,7.22898006439209,2.284224302484872,260.884033203125,7.419999599456787,0.5090022262301356,2,812,Sun,Jupiter
sampled,3,compressed,0.75,compressed@0.75,50,9.083593368530273,3.415978795720562,583.445556640625,6.539999961853027,0.3818482556758197,2,270,Sun,Jupiter
sampled,4,full,,full,50,14.868810653686523,1.508566187523329,113.7885971069336,14.920000076293945,0.5011904825450921,14,1075,erotic thriller film,No information is available about Atom Egoyan in the given passages.
sampled,4,compressed,0.25,compressed@0.25,50,22.173120498657227,2.340176572740092,273.8213195800781,19.0,0.44534449159106293,23,806,erotic thriller film,No information is available about Atom Egoyan's biggest commercial success on stage or on film in the provided passages.
sampled,4,compressed,0.75,compressed@0.75,50,24.020475387573242,3.1353873263958056,491.5326843261719,21.139999389648438,0.4549383153934723,19,268,erotic thriller film,No information is provided about Atom Egoyan's biggest commercial success on stage or on film.
sampled,5,full,,full,50,3.4153153896331787,0.20408585045309627,2.0825517177581787,4.079999923706055,0.5597726390627432,3,1083,Parliament,Parliament.
sampled,5,compressed,0.25,compressed@0.25,50,3.795738458633423,0.38091477211299063,7.25480318069458,4.179999828338623,0.5328969786488013,3,812,Parliament,Parliament.
sampled,5,compressed,0.75,compressed@0.75,50,3.409031867980957,0.22051369428603698,2.431314468383789,3.799999952316284,0.5369599295834163,2,270,Parliament,Parliament
sampled,6,full,,full,50,12.393263816833496,1.4518017853936762,105.38642120361328,9.119999885559082,0.3898765999015428,16,1076,Tharangambadi,No information is available about Thirukkalacherry in the given passages.
sampled,6,compressed,0.25,compressed@0.25,50,15.594728469848633,1.8376350197523752,168.84512329101562,15.619999885559082,0.5005610309408942,16,807,Tharangambadi,No information is available about Thirukkalacherry in the given text.
sampled,6,compressed,0.75,compressed@0.75,50,19.491703033447266,3.8085528042670784,725.2537231445312,14.839999198913574,0.40235555268175743,12,269,Tharangambadi,No information is available about Thirukkalacherry.
sampled,7,full,,full,50,1.2321183681488037,0.35067582957065685,6.148676872253418,4.480000019073486,0.8264351829511357,3,1077,Pleiospilos,Pueraria
sampled,7,compressed,0.25,compressed@0.25,50,4.444045543670654,1.4554720523815192,105.9199447631836,6.339999675750732,0.6151654597731148,3,807,Pleiospilos,Pueraria
sampled,7,compressed,0.75,compressed@0.75,50,3.136906147003174,1.2004836697180705,72.05805206298828,6.179999828338623,0.7033964666662739,3,269,Pleiospilos,Pueraria
sampled,8,full,,full,50,7.435399532318115,4.510558901240787,1017.257080078125,4.339999675750732,0.3049773843808035,2,1095,2013,2013
sampled,8,compressed,0.25,compressed@0.25,50,7.96386194229126,3.0375727389695952,461.3424072265625,6.759999752044678,0.441937379951365,2,821,2013,2013
sampled,8,compressed,0.75,compressed@0.75,50,6.788301944732666,2.6429871091957673,349.26904296875,6.940000057220459,0.5076332643585116,2,273,2013,2013
sampled,9,full,,full,50,14.065577507019043,4.302414752796169,925.5386352539062,9.559999465942383,0.3606584661746964,5,1084,The Rebirth,Noelle Scaggs
sampled,9,compressed,0.25,compressed@0.25,50,7.179605007171631,1.821800541869353,165.94786071777344,7.5,0.5150267707705766,5,813,The Rebirth,Noelle Scaggs
sampled,9,compressed,0.75,compressed@0.75,50,45.58858108520508,7.292556270137722,2659.06884765625,21.920000076293945,0.2365519512862572,24,271,The Rebirth,No specific information is provided about the female member of Fitz and The Tantrums being the front woman for ten years.
sampled,10,full,,full,50,26.649066925048828,5.135790612441647,1318.8172607421875,14.59999942779541,0.2821865961908416,26,1085,"October 13, 1980","No information is available about the American singer, songwriter, record producer, dancer and actress who's second studio album is Chapter II."
sampled,10,compressed,0.25,compressed@0.25,50,26.22951316833496,4.265465599127925,909.7098388671875,16.8799991607666,0.3405925554604164,26,813,"October 13, 1980","No information is provided about the American singer, songwriter, record producer, dancer and actress who's second studio album is Chapter II."
sampled,10,compressed,0.75,compressed@0.75,50,45.19744873046875,6.251100489051408,1953.8128662109375,24.68000030517578,0.28100367979647156,26,271,"October 13, 1980","No information is provided about the American singer, songwriter, record producer, dancer and actress who's second studio album is Chapter II."
sampled,11,full,,full,50,1.4997656345367432,0.6658570364248942,22.16827964782715,4.539999961853027,0.7953463440409769,3,1077,Betty Cohen,Han Peekel
sampled,11,compressed,0.25,compressed@0.25,50,18.127361297607422,3.438973760781514,591.3270263671875,7.0,0.16612912765678917,2,807,Betty Cohen,Han Solo
sampled,11,compressed,0.75,compressed@0.75,50,32.0869140625,5.9826947706489255,1789.6318359375,10.639999389648438,0.12364813690050457,4,269,Betty Cohen,Hanukkah Special
sampled,12,full,,full,50,7.219729900360107,1.4573128812098775,106.18804168701172,15.299999237060547,0.7210255078211633,3,1089,Mary Astor,Bette Davis
sampled,12,compressed,0.25,compressed@0.25,50,8.459345817565918,3.1112787631442136,484.0027770996094,11.0,0.5868113008582873,3,816,Mary Astor,Bette Davis
sampled,12,compressed,0.75,compressed@0.75,50,10.9271821975708,4.823609842645081,1163.360595703125,11.019999504089355,0.5029275954183585,3,272,Mary Astor,Bette Davis
sampled,13,full,,full,50,2.0360546112060547,0.25847316362101475,3.340418815612793,3.319999933242798,0.6537135583290229,3,1076,number five,Number five.
sampled,13,compressed,0.25,compressed@0.25,50,6.590367317199707,3.1204992002545144,486.8757629394531,5.819999694824219,0.45616713624515354,3,807,number five,Number five.
sampled,13,compressed,0.75,compressed@0.75,50,10.118429183959961,4.3808133809723335,959.5762939453125,6.039999961853027,0.31311474745058476,3,269,number five,Number 5
sampled,14,full,,full,50,30.077177047729492,6.3815572128546725,2036.213623046875,31.34000015258789,0.5141617842132095,28,1082,"New Zealand, Canada, the United States, the Falkland Islands, and Peru.","Canada, Alaska, New England, New York State, Fennoscandia, the Baltic states, Poland, Kazakhstan, and Russia."
sampled,14,compressed,0.25,compressed@0.25,50,25.308439254760742,4.766681747590508,1136.062744140625,33.63999938964844,0.5936433116298373,28,811,"New Zealand, Canada, the United States, the Falkland Islands, and Peru.","Canada, Alaska, New England, New York State, Fennoscandia, the Baltic states, Poland, Kazakhstan, and Russia."
sampled,14,compressed,0.75,compressed@0.75,50,45.57205581665039,8.784811888815549,3858.64599609375,22.5,0.24563282824412547,39,270,"New Zealand, Canada, the United States, the Falkland Islands, and Peru.","Canada, Russia, and parts of northern Europe share a common deer species with the forests of Mara and Mondrem, which are likely referring to the boreal forests of northern Scandinavia and Russia."
sampled,15,full,,full,50,21.655996322631836,2.32130989190539,269.4239807128906,15.75999927520752,0.38579022412058944,13,1080,2000 Summer Olympic Games,No information is available about a professional cyclist named Sara Symington.
sampled,15,compressed,0.25,compressed@0.25,50,30.973323822021484,5.079573110831387,1290.1031494140625,19.84000015258789,0.3388795709865603,15,810,2000 Summer Olympic Games,"No Olympic Games held in Sydney, Australia, are mentioned in the text."
sampled,15,compressed,0.75,compressed@0.75,50,34.19532012939453,4.9520616958053445,1226.145751953125,23.35999870300293,0.36252669936154247,15,270,2000 Summer Olympic Games,"No Olympic Games held in Sydney, Australia, are mentioned in the text."
