regime,task_id,kv_caching,ratio,config_label,n_mc_samples,H_bits,se_bits,varentropy_bits,mean_length,confidence,greedy_length,cache_seq_length,gold,predicted_answer,answers,length,dataset,language,all_classes,_id,answer_prefix,task,max_new_tokens,primary_score,error,correct
sampled,0,full,,full,50,23.17238426208496,6.577075331929459,2162.89599609375,15.899999618530272,0.3641531684544207,6,1079,Miller v. California,Gates v. Collier,['Miller v. California'],8616,hotpotqa,en,,fc6267db9ba02bbb251960231bc87251c581110e4e2b5f3f,Answer:,hotpotqa,52,0.3333,0.6667000000000001,0
sampled,0,compressed,0.25,compressed@0.25,50,18.700927734375,3.886493476511797,755.2415771484375,20.61999893188477,0.5333181901219118,6,809,Miller v. California,Gates v. Collier,['Miller v. California'],8616,hotpotqa,en,,fc6267db9ba02bbb251960231bc87251c581110e4e2b5f3f,Answer:,hotpotqa,52,0.3333,0.6667000000000001,0
sampled,0,compressed,0.75,compressed@0.75,50,15.225675582885742,4.454829032520146,992.2750854492188,15.859999656677246,0.5140552069108643,6,269,Miller v. California,Gates v. Collier,['Miller v. California'],8616,hotpotqa,en,,fc6267db9ba02bbb251960231bc87251c581110e4e2b5f3f,Answer:,hotpotqa,52,0.3333,0.6667000000000001,0
sampled,1,full,,full,50,1.523478627204895,0.1253014601032524,0.7850227952003479,4.519999980926514,0.7916568943537514,3,1104,Charles L. Clifford,David Niven,['Charles L. Clifford'],11525,hotpotqa,en,,d542fcd45bbf5112eee9127f04ae060a887c8ef2050aa160,Answer:,hotpotqa,52,0.0,1.0,0
sampled,1,compressed,0.25,compressed@0.25,50,6.391320705413818,3.524424924001343,621.0785522460938,5.139999866485596,0.4223621200787272,3,828,Charles L. Clifford,David Niven,['Charles L. Clifford'],11525,hotpotqa,en,,d542fcd45bbf5112eee9127f04ae060a887c8ef2050aa160,Answer:,hotpotqa,52,0.0,1.0,0
sampled,1,compressed,0.75,compressed@0.75,50,27.11394500732422,8.326999220344925,3466.94580078125,12.880000114440918,0.2324319112021364,3,276,Charles L. Clifford,David Niven,['Charles L. Clifford'],11525,hotpotqa,en,,d542fcd45bbf5112eee9127f04ae060a887c8ef2050aa160,Answer:,hotpotqa,52,0.0,1.0,0
sampled,2,full,,full,50,10.843768119812012,1.635830139892902,133.79701232910156,6.139999866485596,0.2940052747377561,3,1082,Norman,Worcester,['Norman'],11935,hotpotqa,en,,cb9214532284b8202912b1b75592832daef0b109593185a0,Answer:,hotpotqa,52,0.0,1.0,0
sampled,2,compressed,0.25,compressed@0.25,50,20.83593368530273,3.3146155169778933,549.3338012695312,9.0,0.2009482962815732,3,811,Norman,Worcester,['Norman'],11935,hotpotqa,en,,cb9214532284b8202912b1b75592832daef0b109593185a0,Answer:,hotpotqa,52,0.0,1.0,0
sampled,2,compressed,0.75,compressed@0.75,50,35.00917053222656,17.27327347558939,14918.298828125,9.079999923706056,0.0690777276603328,3,270,Norman,Wichita,['Norman'],11935,hotpotqa,en,,cb9214532284b8202912b1b75592832daef0b109593185a0,Answer:,hotpotqa,52,0.0,1.0,0
sampled,3,full,,full,50,13.382161140441896,2.9861686772753853,445.8601684570313,10.34000015258789,0.4077585799804659,2,1083,Sun,Jupiter,['Sun'],11879,hotpotqa,en,,105e7f4d337799315ddf870acc4ff2a62a1e6cdf489086cd,Answer:,hotpotqa,52,0.0,1.0,0
sampled,3,compressed,0.25,compressed@0.25,50,6.714295387268066,1.7317409438993303,149.9463348388672,7.179999828338623,0.522992202398859,2,812,Sun,Jupiter,['Sun'],11879,hotpotqa,en,,105e7f4d337799315ddf870acc4ff2a62a1e6cdf489086cd,Answer:,hotpotqa,52,0.0,1.0,0
sampled,3,compressed,0.75,compressed@0.75,50,11.93525505065918,3.993456409151961,797.3847045898438,7.119999885559082,0.3128840675647006,2,270,Sun,Jupiter,['Sun'],11879,hotpotqa,en,,105e7f4d337799315ddf870acc4ff2a62a1e6cdf489086cd,Answer:,hotpotqa,52,0.0,1.0,0
sampled,4,full,,full,50,19.568742752075195,2.5056854297090547,313.9229736328125,15.380000114440918,0.413984891463186,14,1075,erotic thriller film,No information is available about Atom Egoyan in the given passages.,['erotic thriller film'],9865,hotpotqa,en,,5ff08452b84748458e71d82a6d387599969311fd61cd8fd1,Answer:,hotpotqa,52,0.0,1.0,0
sampled,4,compressed,0.25,compressed@0.25,50,20.067842483520508,2.287348307598438,261.5981140136719,18.68000030517578,0.4749028694741977,23,806,erotic thriller film,No information is available about Atom Egoyan's biggest commercial success on stage or on film in the provided passages.,['erotic thriller film'],9865,hotpotqa,en,,5ff08452b84748458e71d82a6d387599969311fd61cd8fd1,Answer:,hotpotqa,52,0.09519999999999999,0.9048,0
sampled,4,compressed,0.75,compressed@0.75,50,31.12880516052246,4.839049382449124,1170.8199462890625,23.739999771118164,0.4029747503776985,19,268,erotic thriller film,No information is provided about Atom Egoyan's biggest commercial success on stage or on film.,['erotic thriller film'],9865,hotpotqa,en,,5ff08452b84748458e71d82a6d387599969311fd61cd8fd1,Answer:,hotpotqa,52,0.11109999999999999,0.8889,0
sampled,5,full,,full,50,3.860828161239624,0.3177694910105661,5.048872470855713,4.059999942779541,0.5172942595753239,3,1083,Parliament,Parliament.,['Parliament'],10034,hotpotqa,en,,97b31d6d7a9137c220726ad51a6dca3e957e2c94ce5e65b8,Answer:,hotpotqa,52,1.0,0.0,1
sampled,5,compressed,0.25,compressed@0.25,50,3.7905545234680176,0.4129587801113386,8.526747703552246,4.21999979019165,0.5365424724980057,3,812,Parliament,Parliament.,['Parliament'],10034,hotpotqa,en,,97b31d6d7a9137c220726ad51a6dca3e957e2c94ce5e65b8,Answer:,hotpotqa,52,1.0,0.0,1
sampled,5,compressed,0.75,compressed@0.75,50,3.54370379447937,0.235483027419595,2.772612810134888,4.259999752044678,0.5618062574273417,2,270,Parliament,Parliament,['Parliament'],10034,hotpotqa,en,,97b31d6d7a9137c220726ad51a6dca3e957e2c94ce5e65b8,Answer:,hotpotqa,52,1.0,0.0,1
sampled,6,full,,full,50,18.36519432067871,3.130295610697425,489.9375305175781,12.25999927520752,0.354049555208463,16,1076,Tharangambadi,No information is available about Thirukkalacherry in the given passages.,['Tharangambadi'],9438,hotpotqa,en,,11a7ad9d646184c16480376226d58f1b2754b095563c8344,Answer:,hotpotqa,52,0.0,1.0,0
sampled,6,compressed,0.25,compressed@0.25,50,17.090167999267578,2.535936777957384,321.5487670898437,14.139999389648438,0.4326763161402522,16,807,Tharangambadi,No information is available about Thirukkalacherry in the given text.,['Tharangambadi'],9438,hotpotqa,en,,11a7ad9d646184c16480376226d58f1b2754b095563c8344,Answer:,hotpotqa,52,0.0,1.0,0
sampled,6,compressed,0.75,compressed@0.75,50,15.654597282409668,3.228272851769,521.0872802734375,13.059999465942385,0.4356774861101912,16,269,Tharangambadi,No information is available about Thirukkalacherry in the provided text.,['Tharangambadi'],9438,hotpotqa,en,,11a7ad9d646184c16480376226d58f1b2754b095563c8344,Answer:,hotpotqa,52,0.0,1.0,0
sampled,7,full,,full,50,2.042611122131348,0.9642746455450416,46.49127960205078,4.619999885559082,0.7360503525851614,3,1077,Pleiospilos,Pueraria,['Pleiospilos'],1267,hotpotqa,en,,3dd1ade26fd583844dd2af051d61eb20856ccc8e23abae59,Answer:,hotpotqa,52,0.0,1.0,0
sampled,7,compressed,0.25,compressed@0.25,50,4.773409843444824,2.1198593611222183,224.690185546875,5.819999694824219,0.5663738031267775,3,807,Pleiospilos,Pueraria,['Pleiospilos'],1267,hotpotqa,en,,3dd1ade26fd583844dd2af051d61eb20856ccc8e23abae59,Answer:,hotpotqa,52,0.0,1.0,0
sampled,7,compressed,0.75,compressed@0.75,50,4.9946699142456055,2.661985535683374,354.308349609375,6.179999828338623,0.571094327554231,3,269,Pleiospilos,Pueraria,['Pleiospilos'],1267,hotpotqa,en,,3dd1ade26fd583844dd2af051d61eb20856ccc8e23abae59,Answer:,hotpotqa,52,0.0,1.0,0
sampled,8,full,,full,50,14.07249927520752,6.427604652006842,2065.705078125,6.599999904632568,0.2281102379167536,2,1095,2013,2013,['2013'],7877,hotpotqa,en,,f039fe9cc81a0a312f9899beca2fe26b710bf8c3aa23a4d9,Answer:,hotpotqa,52,1.0,0.0,1
sampled,8,compressed,0.25,compressed@0.25,50,7.675592422485352,2.7726280729055715,384.3733215332031,7.759999752044678,0.5037840078175851,2,821,2013,2013,['2013'],7877,hotpotqa,en,,f039fe9cc81a0a312f9899beca2fe26b710bf8c3aa23a4d9,Answer:,hotpotqa,52,1.0,0.0,1
sampled,8,compressed,0.75,compressed@0.75,50,6.56726598739624,2.884359446904168,415.9764709472656,5.679999828338623,0.4486900700667219,2,273,2013,2013,['2013'],7877,hotpotqa,en,,f039fe9cc81a0a312f9899beca2fe26b710bf8c3aa23a4d9,Answer:,hotpotqa,52,1.0,0.0,1
sampled,9,full,,full,50,3.745748519897461,0.5304216636468284,14.067357063293455,5.539999961853027,0.6258427444870033,5,1084,The Rebirth,Noelle Scaggs,['The Rebirth'],6021,hotpotqa,en,,a30caa5dafcc37835bfe4093f129017adf4c814e9016e10d,Answer:,hotpotqa,52,0.0,1.0,0
sampled,9,compressed,0.25,compressed@0.25,50,9.134662628173828,3.3918303229160984,575.2256469726562,9.199999809265137,0.5024673868692754,5,813,The Rebirth,Noelle Scaggs,['The Rebirth'],6021,hotpotqa,en,,a30caa5dafcc37835bfe4093f129017adf4c814e9016e10d,Answer:,hotpotqa,52,0.0,1.0,0
sampled,9,compressed,0.75,compressed@0.75,50,53.00468444824219,8.428854366846066,3552.279296875,21.13999938964844,0.1758823690832417,24,271,The Rebirth,No specific information is provided about the female member of Fitz and The Tantrums being the front woman for ten years.,['The Rebirth'],6021,hotpotqa,en,,a30caa5dafcc37835bfe4093f129017adf4c814e9016e10d,Answer:,hotpotqa,52,0.0,1.0,0
sampled,10,full,,full,50,31.73828125,6.121406989831361,1873.5811767578125,14.479999542236328,0.218867503833518,26,1085,"October 13, 1980","No information is available about the American singer, songwriter, record producer, dancer and actress who's second studio album is Chapter II.","['October 13, 1980']",12090,hotpotqa,en,,72feb2a8e5b92548a357bfc11e94050464f93f1ce286418c,Answer:,hotpotqa,52,0.0,1.0,0
